task_rank,pr_hyperlink,fix_commit,base_commit,issue_hyperlink
1,https://github.com/square/okhttp/pull/5457,5fbf7cccd19c6f144a59cc2487e8a93636ecac0c,24fd042c3ba37f20cb23dfbe06a9690384a5b290,https://github.com/square/okhttp/issues/5151
2,https://github.com/square/okhttp/pull/8227,84a028d8eebcd3eec373c34e438214676c14f222,76acdc5d0d437253d01dc4f90e43247d1ad22682,https://github.com/square/okhttp/issues/7738
3,https://github.com/square/okhttp/pull/8904,85796896c3042935a98500e4d41b0f3ca49523e7,55a2c44489751280a31180ea82075d72ca6b05eb,https://github.com/square/okhttp/issues/8902
4,https://github.com/square/okhttp/pull/8610,8f88fdbf1d46860c5555a6fe533d7a8eb0c468b0,c998c2c57ba82a02035c60173e084033a44aa0a8,https://github.com/square/okhttp/issues/8551
5,https://github.com/square/okhttp/pull/5983,3ca806c24bedc382d7ecb05722f81fce4f2fedf3,ba21ef7e35f4f3fa64d7bad275a2c03bc889443c,https://github.com/square/okhttp/issues/5965
6,https://github.com/square/okhttp/pull/8676,522fe8101938fcea7cb4f90fd8d1534b9b302d7f,b2f22c2e593bdf315a6ebad79836d443c227280b,https://github.com/square/okhttp/issues/8665
7,https://github.com/square/okhttp/pull/8760,a2fe76408375a41420d62fe7a589640f688fe8ac,522fe8101938fcea7cb4f90fd8d1534b9b302d7f,https://github.com/square/okhttp/issues/8712
8,https://github.com/square/okhttp/pull/8569,f1e6d01aea30844f0ddc7394208ec13d59d5e6f8,ce9fc58b8da2c22a3adab8055334284badbfc33e,https://github.com/square/okhttp/issues/8568
9,https://github.com/square/okhttp/pull/8136,c71af6a2435716a31979bf3aead8ea38dde4af9d,0fea18494cd1fc9714596fbea8dd1563421ecef9,https://github.com/square/okhttp/issues/8078
10,https://github.com/square/okhttp/pull/8415,f07f4ccbd4be1f94d3b17b0fffb77f558ef56f4b,4ba74c7f9cd0d939fc1194323a534cb253829f95,
